Nome do Evento,Data,Localização,Imagem
DevOpsDays Rio de Janeiro 2024,"SAB, 17 AGO · 08:00","MHS Eventos - Rio de Janeiro, RJ",https://images.sympla.com.br/648737967144f-xs.png
Ranther Melo Show,"DOM, 21 JAN · 19:00","Mont Blanc Apart Hotel - Duque de Caxias, RJ",https://images.sympla.com.br/6577101eb5509-xs.png
FELIPE FERREIRA - SHOW DE COMÉDIA EM NILÓPOLIS!,"QUI, 25 JAN · 20:00","Rua Pracinha Wallace Paes Leme, 777 - Nilópolis, RJ",https://images.sympla.com.br/657c9ad712860-xs.jpg
Awurê - 6 anos Madureira,"SAB, 20 JAN · 17:00","Estr. do Portela, 563 - Rio de Janeiro, RJ",https://images.sympla.com.br/65805e0f52b72-xs.jpg
MARCOS MACHADO - SHOW DE COMÉDIA EM NILÓPOLIS!,"QUI, 18 JAN · 20:00","Rua Pracinha Wallace Paes Leme, 777 - Nilópolis, RJ",https://images.sympla.com.br/65738d961c2ac-xs.jpg
26/01 - WÊLSON NUNES,"SEX, 26 JAN · 20:00","Laba Comedy Bar - Mesquita, RJ",https://images.sympla.com.br/657a6a70acec1-xs.jpg
A Língua Mãe,"DOM, 28 JAN · 20:00","Espaço Abu - Rio de Janeiro, RJ",https://images.sympla.com.br/658312b1ad5c9-xs.jpg
Isabel das Santas Virgens e sua Carta à Rainha Louca,"SAB, 20 JAN · 20:00","Espaço Abu - Rio de Janeiro, RJ",https://images.sympla.com.br/65831c7f28083-xs.jpg
A VIDA COMO ELA É (NELSON RODRIGUES),"DOM, 28 JAN · 19:00","Av. Nossa Sra. de Copacabana, 680 - Rio de Janeiro, RJ",https://images.sympla.com.br/6582ba3b3c38e-xs.png
28/01 - Matheus Mad - Desordem,"DOM, 28 JAN · 19:00","Laba Comedy Bar - Mesquita, RJ",https://images.sympla.com.br/657a69a1288fb-xs.jpg
19/01 - Flávio Andrade - Jogando Conversa Fora,"SEX, 19 JAN · 21:00","Laba Comedy Bar - Mesquita, RJ",https://images.sympla.com.br/65674181f331a-xs.jpg
ROBLOX UMA NOVA AVENTURA AO VIVO BARRA DA TIJUCA *20 DE JANEIRO*,"SAB, 20 JAN · 15:00","Teatro Antônio Fagundes - Rio de Janeiro, RJ",https://images.sympla.com.br/6586fd7ae9187-xs.png
Big Bang - Especial Ano Novo,"SEG, 08 JAN · 19:00","Star Comedy - Humor levado a sério - Rio de Janeiro, RJ",https://images.sympla.com.br/658220986a8ae-xs.jpg
CIRCO VOSTOK APRESENTADO POR DIEGO HYPOLITO,"17 DEZ
14 JAN","ESTACIONAMENTO SHOPPING NOVA IGUAÇU - Nova Iguaçu, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3bfj1ekdio219qqqhv2kpmi3sqnipp9cgstpqstesqe8g2hsou6q16l1vtmp658fmt8gp0p9sk4fsf078sqchfkdh7jr0klng8vk300.jpeg
Workshop - A história de Claudio Torres Gonzaga,"SAB, 13 JAN · 10:00","Star Comedy - Humor levado a sério - Rio de Janeiro, RJ",https://images.sympla.com.br/657f3ddf3ca43-xs.jpg
Vinny Santa Fe,"TER, 26 DEZ · 18:00","BECO DO RATO - Rio de Janeiro, RJ",https://images.sympla.com.br/65669a54915c8-xs.jpg
Histórias do Porchat,"02 MAR
19 MAI","Teatro Multiplan - VillageMall - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1g65545ve1q9so5fn32n7eo79ejorr018i195anqnqoic32p5lnrnacq4r9kmlm1cvvc7emejidl1udqj7tb2glp37bkj32ea1t1b7p.jpeg
ENCRUZILHADAS,"20 DEZ
14 JAN","Cine Teatro - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/36qmbocv6gn390j7jqp3qjun97umtis6amkj6712t6eg0urlpqnl47e2ipvu2tt1hsu5f6ah5mdgmkb1ljcgo1ua40anpajtk2lug50.webp
A VEDETE DO BRASIL - UM MUSICAL BRASILEIRO,"08 DEZ
28 JAN","Copacabana Palace - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/u78i32lk79o4n4o9vs9aou2epg8h328850j199s5jdnpkoajastrh3dthftknp1utd4hab6dd0dft77g66artf3renm9793lsci39i.jpeg
Espetáculo de conclusão da Oficina de Teatro Musical SPOT 2023,"DOM, 21 JAN · 19:00","Teatro Eduardo Kraichete - Niterói, RJ",https://images.sympla.com.br/655fd6eedf56e-xs.jpg
Tebas Land,"22 FEV
10 MAR","Teatro Poeira - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/hsbdrlqo4qqascnm8pvhad3p1vf1brf23kcrs90078jgckb0061i37b6ohglab4hntl77pu4d6vo667s2jeuimg93sbs50p71v1v49.webp
Festa da Comédia Carioca apresenta: ESSE MENINO AO VIVO,"SAB, 03 FEV · 20:00","Teatro PRIO - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/2jssjhr5t0frc9i5fdecm1ncni0kjnfdlscrbg8u8vgedtenoovmo8cg3lge5tqr5rrueal6nac2hk0dq92ltrrle7jeon7orc9mivn.jpeg
