Nome do Evento,Data,Localização,Imagem
REVEILLON 2024 :: DREAMS Party Convida BAILE DO CLAUDINHO,"DOM, 31 DEZ · 22:00","CLUBE ISRAELITA BRASILEIRO - RIO DE JANEIRO, RJ",https://images.sympla.com.br/6537e0397e52b-xs.png
Lista de espera - II Encontro de Cirurgia maxilofacial do IBRF,"26 JUL
27 JUL","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/64c532aaba849-xs.png
"""Breakingrafia, - Oficina Fotográfica""","SAB, 13 JAN · 15:00","Sesc - Rio de Janeiro, RJ",https://images.sympla.com.br/65405ace7340a-xs.jpg
Interpretação de Ensaios de Campo e Laboratório para Aplicação em ProjetosEstudos de Barragens,"11 MAR
12 MAR","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/6407e8946cc41-xs.png
1º Workshop de Saúde e Segurança do Trabalho de Nova Friburgo,"18 MAR
19 MAR","Av. Alberto Braune, 111 - Nova Friburgo, RJ",https://images.sympla.com.br/651472e1a8da4-xs.png
Transportes Turísticos - DEZEMBRO 2023 - acesso ao município de Teresópolis,"01 DEZ
31 DEZ","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/645bf953e75cb-xs.png
CURSO GUIA DE TURISMO REGIONAL (RJ) - Fevereiro 2024,"06 NOV
10 MAR","Av. Treze de Maio, 33 - Rio de Janeiro, RJ",https://images.sympla.com.br/6549325bf2df7-xs.jpg
HÍBRIDO: Plantão Psicológico Centrado na Pessoa: Curso de Extensão,"SAB, 23 MAR · 09:30","Av. Pastor Martin Luther King Jr., 126 - Rio de Janeiro, RJ",https://images.sympla.com.br/655567726555c-xs.png
Transportes Turísticos - NOVEMBRO 2024 - acesso ao município de Teresópolis,"01 NOV
30 NOV","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a1422649ef-xs.png
Transportes Turísticos - DEZEMBRO 2024 - acesso ao município de Teresópolis,"01 DEZ
31 DEZ","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a14bf6e0f9-xs.png
Capacitação Guias de Turismo RJ - Presencial - Turma 06,"06 DEZ
31 JAN","INSTITUTO DE PESQUISA E MEMÓRIA PRETOS NOVOS - Rio de Janeiro, RJ",https://images.sympla.com.br/656f326c5ac7a-xs.png
Transportes Turísticos - JULHO 2024 - acesso ao município de Teresópolis,"01 JUL
31 JUL","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a10d8b314a-xs.png
Transportes Turísticos - MAIO 2024 - acesso ao município de Teresópolis,"01 MAI
31 MAI","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a0ded8d628-xs.png
Transportes Turísticos - JANEIRO 2024 - acesso ao município de Teresópolis,"01 JAN
31 JAN","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/656a344c0c238-xs.png
Transportes Turísticos - AGOSTO 2024 - acesso ao município de Teresópolis,"01 AGO
31 AGO","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a1219a4978-xs.png
Transportes Turísticos - ABRIL 2024 - acesso ao município de Teresópolis,"01 ABR
30 ABR","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a0be791581-xs.png
Transportes Turísticos - MARÇO 2024 - acesso ao município de Teresópolis,"01 MAR
31 MAR","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a07c81e71d-xs.png
CONASI RJ - Congresso Nacional de Síndicos pelo Brasil 2024 | Edição Rio de Janeiro,"SAB, 24 AGO · 08:45","Vogue Square Fashion Hotel - Rio de Janeiro, RJ",https://images.sympla.com.br/651708e73b425-xs.png
XDANCE 2024,"24 JAN
28 JAN","Espaço Tápias - Rio de Janeiro, RJ",https://images.sympla.com.br/650da7f42d4a8-xs.jpg
PERIGOS NOTURNOS NO DVNO,"QUA, 27 DEZ · 23:00","DVNO - Cabo Frio, RJ",https://images.sympla.com.br/6588b06ee1300-xs.jpg
Seminário RIO TEAMA 2024,"22 MAR
24 MAR","Rio Othon Palace - Rio de Janeiro, RJ",https://images.sympla.com.br/64b5ba3728bf9-xs.jpg
Transportes Turísticos - FEVEREIRO 2024 - acesso ao município de Teresópolis,"01 FEV
29 FEV","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/656a352c3edd6-xs.png
Circuito Herança Africana IPN,"20 DEZ
14 DEZ","Estátua Merced Baptista - Ponto de encontro - Rio de Janeiro, RJ",https://images.sympla.com.br/6583579c409d1-xs.jpg
Jornada Condominial- Rio de Janeiro,"TER, 30 JUL · 18:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/657a02eeb1592-xs.png
Jornada Condominial- Petrópolis,"QUI, 15 AGO · 18:00","Local a definir - Petrópolis, RJ",https://images.sympla.com.br/657a08021c238-xs.png
Jornada Condominial- Niterói,"TER, 02 ABR · 18:00","Local a definir - Niterói, RJ",https://images.sympla.com.br/6578aa2630d24-xs.png
Primeiro Seminário Sobre Ataque em Escola Segurança e Prevenção,"SEX, 26 JAN · 10:00","1ª Subseção Nova Iguaçu/Mesquita - OABRJ - Nova Iguaçu, RJ",https://images.sympla.com.br/658304182e8c3-xs.png
Circuito PASS 2024 - Lote 2 / Solos com 20% de desconto / Duos e Trios com 30% de desconto,"17 DEZ
07 JAN","Teatro Thiago de Mello - Rio de Janeiro, RJ",https://images.sympla.com.br/656f78678ac7f-xs.png
