Nome do Evento,Data,Localização,Imagem
CASA DA COMÉDIA CARIOCA - 3° FESTIVAL DE STAND UP DA CASA,"19 JAN
21 JAN","Teatro Cândido Mendes - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/le57uiimg350sgr96tahhru9c6b8f1bu43sorpr4qh3etmo370aj1819thnssjttdurb1lff5epdplskq4tt2tbrr75ouiqe9cgee2.webp
RADICAL PARQUE 30/12/2023,"SAB, 30 DEZ · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 01/01/2024,"SEG, 01 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 02/01/2024,"TER, 02 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 03/01/2024,"QUA, 03 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 04/01/2024,"QUI, 04 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 05/01/2024,"SEX, 05 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 06/01/2024,"SAB, 06 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 07/01/2024,"DOM, 07 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 08/01/2024,"SEG, 08 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 09/01/2024,"TER, 09 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 10/01/2024,"QUA, 10 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 11/01/2024,"QUI, 11 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 12/01/2024,"SEX, 12 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 13/01/2024,"SAB, 13 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 14/01/2024,"DOM, 14 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 15/01/2024,"SEG, 15 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 16/01/2024,"TER, 16 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 17/01/2024,"QUA, 17 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 18/01/2024,"QUI, 18 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 19/01/2024,"SEX, 19 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 20/01/2024,"SAB, 20 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 21/01/2024,"DOM, 21 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 22/01/2024,"22 JAN
23 JAN","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 23/01/2024,"TER, 23 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 24/01/2024,"QUA, 24 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 25/01/2024,"QUI, 25 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 26/01/2024,"SEX, 26 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 27/01/2024,"SAB, 27 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 28/01/2024,"DOM, 28 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 29/01/2024,"SEG, 29 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 30/01/2024,"TER, 30 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 01/02/2024,"QUI, 01 FEV · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 31/01/2024,"QUA, 31 JAN · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 02/02/2024,"SEX, 02 FEV · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 03/02/2024,"SAB, 03 FEV · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
RADICAL PARQUE 04/02/2024,"DOM, 04 FEV · 18:00","Radical Parque - Armação dos Búzios, RJ",https://images.sympla.com.br/637dfaabac1b9-xs.png
Morro da Providência - Rolé dxs Favelladxs,"SAB, 30 DEZ · 10:00","Estátua da Mercedes Baptista - Rio de Janeiro, RJ",https://images.sympla.com.br/6582ee5d55789-xs.jpg
Trilha Morro da Urca,"SAB, 30 DEZ · 07:00","Cristo Redentor - Rio de Janeiro, RJ",https://images.sympla.com.br/656e473d6f0a2-xs.png
Favella e trilha da Babilônia - Rolé dxs Favelladxs,"SAB, 13 JAN · 08:30","Windsor Leme Hotel - Rio de Janeiro, RJ",https://images.sympla.com.br/6582f79dee920-xs.jpg
Chega+ Summer,"SAB, 27 JAN · 08:30","Areia Parque - Rio de Janeiro, RJ",https://images.sympla.com.br/653fe0169e351-xs.jpg
Trilha Janela do Ceu + Churrasco,"DOM, 21 JAN · 07:00","Parque Natural Municipal de Nova Iguaçu - Nova Iguaçu, RJ",https://images.sympla.com.br/656f30c187e06-xs.png
Serrinha do Alambari,"DOM, 14 JAN · 06:30","Serrinha do Alambari - Resende, RJ",https://images.sympla.com.br/6580671c029b3-xs.jpg
Trilha + Rapel na Cachoeira do Mendanha,"DOM, 07 JAN · 07:00","Cachoeira do Mendanha - Rio de Janeiro, RJ",https://images.sympla.com.br/657bbb9a00317-xs.png
Circuito das Praias Selvagens! Da Cidade do Rio de Janeiro!,"SAB, 06 JAN · 07:00","Praia do Perigoso - Rio de Janeiro , RJ",https://images.sympla.com.br/656f37e5c6b9a-xs.png
Pedal Solidário Paracambi 1ª edição,"DOM, 21 JAN · 07:00","Praça da Fábrica - Paracambi, RJ",https://images.sympla.com.br/65725b041131d-xs.jpg
EMBAIXADORES - AULAS AO VIVO I Terça 26/12,"SEG, 25 DEZ · 21:40","Barra Business Center - Rio de Janeiro, RJ",https://images.sympla.com.br/63ebb89584381-xs.jpg
ALUNOS QUERIDOS - AULAS AO VIVO I Terça 26/12,"SEG, 25 DEZ · 21:45","Barra Business Center - Rio de Janeiro, RJ",https://images.sympla.com.br/63ebb89584381-xs.jpg
Carnaval nas Montanhas para Mulheres - Três Picos - RJ,"10 FEV
13 FEV","Três Picos - RJ - Nova Friburgo, RJ",https://images.sympla.com.br/6585d4f3df824-xs.jpg
CrossFit Copa Sur 2024,"31 MAI
02 JUN","Arena Carioca 1 - Rio de Janeiro, RJ",https://images.sympla.com.br/656f864449e71-xs.jpg
"Caminhada Morro Dois Irmãos e Vidigal, a vista mais bonita do Rio","QUA, 27 DEZ · 08:00","Morro Dois Irmãos - Rio de Janeiro, RJ",https://images.sympla.com.br/64d8e1d713229-xs.jpg
Trilha Garganta do Céu e Cachoeira na Pedra da Gávea,"QUA, 27 DEZ · 08:00","Trilha Pedra da Gávea - Rio de Janeiro, RJ",https://images.sympla.com.br/64d8f9a681589-xs.jpg
"Trilha Pôr do Sol no Morro Dois Irmãos e Vidigal, a vista mais bonita do Rio","QUA, 27 DEZ · 08:00","Morro Dois Irmãos - Rio de Janeiro, RJ",https://images.sympla.com.br/64d8f1292a218-xs.jpg
"Trilha da Pedra da Gávea, a sua melhor experiência no Rio de Janeiro","QUA, 27 DEZ · 08:00","Trilha Pedra da Gávea - Rio de Janeiro, RJ",https://images.sympla.com.br/63960f6784713-xs.jpg
Circuito MTB AVELAR - Etapa LÁ TORRE,"DOM, 04 FEV · 06:00","Jardim de Avelar (Centro) - Paty do Alferes, RJ",https://images.sympla.com.br/653c0ebb98d44-xs.jpg
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
Nome do Evento,Data,Localização,Imagem
