Nome do Evento,Data,Localização,Imagem
Saúde na Escola tá ON 2023 | Coala Saúde,"27 JUL
31 DEZ","Coala Saúde - Rio de Janeiro, RJ",https://images.sympla.com.br/64777fce91060-xs.png
Réveillon 2024 - Quiosque Força & Saúde,"DOM, 31 DEZ · 21:00","Quiosque Força & Saúde - Rio de Janeiro, RJ",https://images.sympla.com.br/64e89e56b6d8d-xs.png
Fracktura,"QUI, 18 JAN · 20:00","Teatro Solar de Botafogo - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/2b3ed1rnkhuajukq5viv9ksbjhqr76ltifej03sbvjh0pmirkl724vr59nhoma0mriip0jn3n00slptk6pcethjd5omq2jq1c391mit.jpeg
REVEILLON 2024- PRAIA DE COPACABANA- ALL INCLUSIVE,"DOM, 31 DEZ · 21:00","JUANNA'S BEER & FOOD - Rio de Janeiro, RJ",https://images.sympla.com.br/648a3c4862f76-xs.jpg
GLÓRIA PELA PRIMEIRA VEZ EM SÃO GONÇALO - NO ROCKNBEER,"SAB, 13 JAN · 20:00","Rock'n Beer Pub - São Gonçalo, RJ",https://images.sympla.com.br/6536dab95ec68-xs.jpg
MISSISSIPPI DELTA BLUES FESTIVAL RJ - MOJO HAND EDITION,"09 MAI
12 MAI","Mississippi Delta Blues Bar - Rio de Janeiro, RJ",https://images.sympla.com.br/646517da58d15-xs.jpg
Bailão da Ana,"SAB, 20 JAN · 18:00","Espaço Catete Cultural - Rio de Janeiro, RJ",https://images.sympla.com.br/65566f696b8d4-xs.jpg
"Parte Cinza comemorando 10 anos do álbum ""Fase Ruim"" + Trash No Star, xClavax e Neon Dharmas","SEX, 26 JAN · 20:00","Audio Rebel - Rio de Janeiro, RJ",https://images.sympla.com.br/654103a7e1334-xs.jpg
Cachorrada em alto mar,"DOM, 21 JAN · 11:00","BR Marinas - Marina da Glória - Rio de Janeiro, RJ",https://images.sympla.com.br/653838f8ee98e-xs.jpg
VÁA SURF BAND + MARCELO FINO VJ,"SAB, 06 JAN · 21:00","Bar do Chico - Rio de Janeiro, RJ",https://images.sympla.com.br/65406768e6eed-xs.jpg
Ilha Moshpit II,"SAB, 27 JAN · 18:00","Areninha Carioca Renato Russo - Rio de Janeiro, RJ",https://images.sympla.com.br/654fb620b96f7-xs.png
GROWL FEAT. PAPI | WHITE PARTY,"SAB, 30 DEZ · 23:00","Mansão L&D - Rio de Janeiro, RJ",https://images.sympla.com.br/6557c31dcbe5c-xs.jpg
Rock the Mountain 2024 : 2º Final de Semana,"16 NOV
18 NOV","Parque Municipal Prefeito Paulo Rattes - Petrópolis, RJ",https://images.sympla.com.br/65723dcb15f8e-xs.jpg
Sambinha da Guanabara Sexta: Sambotica | Galocantô | Samba do Xoxó,"SEX, 29 DEZ · 20:00","Terrasse Rio - Rio de Janeiro, RJ",https://images.sympla.com.br/6581d72d9e5dd-xs.png
PRÉ DO RIO - O PRÉ-RÉVEILLON OFICIAL DO SAMBA CARIOCA!,"SAB, 30 DEZ · 16:00","Quintal da Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/657b8fbf20a84-xs.jpg
QUINTAL DA MAGIA E CARICA SENSAÇÃO - NAO IA NEM SAIR,"SAB, 30 DEZ · 16:00","BATUQ Casa de samba - Rio de Janeiro, RJ",https://images.sympla.com.br/658aee8f44593-xs.jpg
