Nome do Evento,Data,Localização,Imagem
Smart Summit 2024,"25 JAN
26 JAN","EXPO MAG - Rio de Janeiro, RJ",https://images.sympla.com.br/6514631786de1-xs.png
Réveillon do Copa 2024,"DOM, 31 DEZ · 20:00","Copacabana Palace - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/d1g14bn5510u0bkf1hoav09005vj0bufqdluuvijku4tlcuvn9tetrbnkpkkld3ph2k584ssvk3d89s3qtv7t1cqfleo6bkb00nh7o.webp
Réveillon 2024 na Casa Fróes,"DOM, 31 DEZ · 20:30","Casa Fróes - Niterói, RJ",https://images.sympla.com.br/6546bfad54958-xs.jpg
Reveillon Marinho Atlântica 2024,"DOM, 31 DEZ · 21:00","Marinho Atlântica - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3r67q2u889g1du5d96g00tb0ugm9rs0vtjlc82qek31h3vdja9hfsipqd8jktknij0a9jm7h54hol1trg0qe8rp9d4v9c9hkl6lu509.jpeg
Almoço Solidário | Especial de 5 anos do Celebrar Maricá,"DOM, 28 JAN · 11:00","Local a definir - Maricá, RJ",https://images.sympla.com.br/6582fbd37d2e1-xs.jpg
Colônia de Férias na Cozinha com a Kapim,"15 JAN
19 JAN","Instituto Aldeia - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c38144406-xs.png
Curso Básico de Produção de Cerveja - Janeiro/24 - Domingo de 09:00 às 17:00,"DOM, 21 JAN · 09:00","Sampler Brew House - Petrópolis, RJ",https://images.sympla.com.br/612d2ed2d8d44-xs.jpg
Workshop Café Especial para Leigos,"SEX, 19 JAN · 14:00","Artemis Torrefação - Rio de Janeiro, RJ",https://images.sympla.com.br/63599e6d56973-xs.jpg
Curso de Métodos de Cafés Filtrados,"SAB, 09 MAR · 10:00","Artemis Torrefação - Rio de Janeiro, RJ",https://images.sympla.com.br/63fd04b98ec90-xs.jpg
Workshop de Cafés Gelado,"SEX, 19 JAN · 10:00","Artemis Torrefação - Rio de Janeiro, RJ",https://images.sympla.com.br/63fd2e9e27dd5-xs.jpg
ALMABRASIL - JANTAR SHOW,"QUI, 28 DEZ · 20:30","Espaço Barra - Rio de Janeiro, RJ",https://images.sympla.com.br/65732602a76e9-xs.png
ENCONTRO DE CONFEITEIROS EM SÃO GONÇALO RJ,"TER, 23 JAN · 09:00","CRAVO E CANELA - São Gonçalo, RJ",https://images.sympla.com.br/6563f0f894955-xs.jpg
VINHO & PIZZA + CARDÁPIO DE ACOMPANHAMENTOS,"18 JUL
30 DEZ","Vinho & Ponto - Rio de Janeiro, RJ",https://images.sympla.com.br/64b6caabea3b1-xs.jpg
Réveillon 2024 - Encontro Nordestino Copacabana,"DOM, 31 DEZ · 21:30","Encontro Nordestino Copacabana - Rio de Janeiro, RJ",https://images.sympla.com.br/6568944c98f27-xs.png
Gastronomia Preta no Mar,"DOM, 07 JAN · 13:30","BR Marinas - Marina da Glória - Rio de Janeiro, RJ",https://images.sympla.com.br/6581f2c1231c7-xs.jpg
Comer e não ter vergonha de ser feliz,"QUI, 18 JAN · 18:00","Senac Copacabana - Rio de Janeiro, RJ",https://images.sympla.com.br/6577b9cf7eeab-xs.png
Reveillon Mabs 23-24,"DOM, 31 DEZ · 20:00","Mabs restaurante - Rio de Janeiro, RJ",https://images.sympla.com.br/6527132aac37c-xs.jpg
