Nome do Evento,Data,Localização,Imagem
SALÃO AUTO MASTER RIO,"22 NOV
24 NOV","Riocentro - Rio de Janeiro, RJ",https://images.sympla.com.br/6204fbfb5aeb1-xs.jpg
IBM CAMP - 2024,"09 FEV
14 FEV","Sítio Recanto Ideal - Guapimirim, RJ",https://images.sympla.com.br/651d6d8ec2293-xs.jpg
FESTA DA VIRADA,"DOM, 31 DEZ · 20:30","Casarão Restaurante e Churrascaria - Santo Antônio de Pádua, RJ",https://images.sympla.com.br/656dd371ce5a5-xs.png
ESCOLA JOY DE MINISTÉRIO SOBRENATURAL,"02 FEV
15 MAR","FATEF VOLTA REDONDA - Volta Redonda, RJ",https://images.sympla.com.br/6540ed50550cf-xs.png
CONFERÊNCIA IGNIS 2024 | PODER DO ESPÍRITO,"09 FEV
13 FEV","PIBCOPA - Rio de Janeiro, RJ",https://images.sympla.com.br/6578c70ab992b-xs.jpg
Conferência A CURA,"SAB, 09 MAR · 17:00","Igreja Metodista Central Angra dos Reis - Angra dos Reis, RJ",https://images.sympla.com.br/65341f15734d6-xs.jpg
CASA DE CURA (Chá de Mulheres),"SAB, 13 JAN · 15:00","Igreja Unidade em Cristo - Rio de Janeiro, RJ",https://images.sympla.com.br/6580f1aadc474-xs.jpg
Gravação do EP Jesus,"QUA, 24 JAN · 14:00","Graça Music - Rio de Janeiro, RJ",https://images.sympla.com.br/65848448d3055-xs.png
Tour Casas & Prédios Antigos do Cosme Velho,"DOM, 07 JAN · 10:00","Paróquia Cristo Redentor - Rio de Janeiro, RJ",https://images.sympla.com.br/5f823fd82d267-xs.jpg
PASTORAS DO BRASIL 2024,"SEX, 23 FEV · 18:00","RIO OTHON PALACE - Rio de Janeiro, RJ",https://images.sympla.com.br/6580493683285-xs.jpg
Inscrição Conferência Profética Revestidas,"SEX, 29 DEZ · 19:00","Igreja Assembleia de Deus Ministério Verde Vale - Rio Bonito, RJ",https://images.sympla.com.br/657767cec6678-xs.png
CULTO - PIB MACAÉ,"11 MAI
13 MAI","R. Tenente-Coronel Amado, 203 - Macaé, RJ",https://images.sympla.com.br/6585c919abb91-xs.png
Encontro Moriyah - 2ª. Edição,"26 JAN
28 JAN","Sítio John Wesley - Teresópolis, RJ",https://images.sympla.com.br/6549fa09d140a-xs.png
XLV COMEERJ - Polo XVII Efraim,"10 JAN
14 JAN","IE Eber Teixeira De Figueiredo - Bom Jesus do Itabapoana, RJ",https://images.sympla.com.br/655fef328a404-xs.jpg
RETIRO CORPO EN.CANTO com NATASHA LLERENA,"26 JAN
28 JAN","Petrópolis - Petrópolis, RJ",https://images.sympla.com.br/657cbde5f2751-xs.jpg
RETIRO DE CARNAVAL 2024 - REIKIOGA,"09 FEV
14 FEV","R. Rancho Alegre, 700 - Rio Bonito, RJ",https://images.sympla.com.br/65810a17e5b6c-xs.png
A Arte da Benzedura,"SAB, 13 JAN · 15:00","Fazenda Alegria Camping & Aventura - Rio de Janeiro, RJ",https://images.sympla.com.br/6576165f686b0-xs.jpg
HOLY WAVE CONFERENCE 2K24,"09 FEV
12 FEV","R. Jabitacá, 145 - Rio de Janeiro, RJ",https://images.sympla.com.br/6557aeb467fc3-xs.jpg
"Ano novo, vida nova! - Curso especial","SAB, 20 JAN · 15:00","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c71dc9bb3-xs.jpg
Meditação & Mantra - Curso especial,"SAB, 13 JAN · 15:00","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c5c9cad77-xs.jpg
"Virada do Ano com Recitação de Mantra, Ensinamentos, Meditação Guiada e Preces Cantadas","DOM, 31 DEZ · 22:00","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6537e6e112a38-xs.jpg
Vexis Fest- O festival de arte que cura lote 2,"06 DEZ
30 DEZ","Uaná Etê Jardim Ecológico Ecological Garden - Engenheiro Paulo de Frontin, RJ",https://images.sympla.com.br/652de1523332d-xs.jpg
Curso de Noivos - EPVM - 1º Encontro: 06/04/2024 - 2º Encontro: 13/04/2024,"06 ABR
13 ABR","Basílica Santuário de Nossa Senhora da Penha - Rio de Janeiro, RJ",https://images.sympla.com.br/65842eaca16ba-xs.png
Retiro urbano - Lamrim: As Etapas do Caminho Mahamudra,"15 JAN
19 JAN","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c2e7adeeb-xs.jpg
Retiro urbano - Lamrim: As Etapas do Caminho do Glorioso Heruka,"22 JAN
26 JAN","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c34703e81-xs.jpg
Cafeomancia-NÃO É ON LINE- Leitura na Borra do Café - Cultura Árabe,"20 DEZ
06 ABR","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/630f30949c425-xs.jpg
Conferência Eu Escolhi Adorar 2024,"26 JAN
28 JAN","PRIMEIRA IGREJA BATISTA NAS MALVINAS - Macaé, RJ",https://images.sympla.com.br/653fc53f5c3a4-xs.jpg
Retiro urbano - Lamrim: As Etapas do Caminho para a Iluminação,"03 JAN
07 JAN","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579bb52ac3e8-xs.jpg
Retiro urbano - Lamrim: As Etapas do Caminho da Venerável Vajrayogini,"08 JAN
12 JAN","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579be68c866f-xs.jpg
curso baralho de MARIA PADILHA (presencial),"20 DEZ
06 ABR","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/64ba6f476d0a1-xs.jpg
"Instrumentos mágicos da Wicca: Caldeirão, Varinha, Athame, Adaga, Boline, Vassoura, oráculo, baú","13 DEZ
09 MAR","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/657987a64d5d3-xs.jpg
O despertar do bom coração - aulas com meditação aos fins de semana,"13 JAN
21 JAN","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c4781005b-xs.jpg
I Congresso de Educação Católica - EducaIta,"27 JAN
28 JAN","Palmier Hotel - Itaboraí, RJ",https://images.sympla.com.br/654e6664798e9-xs.jpg
Curso (NÃO É ON LINE) BARALHO CIGANO das 36 cartas,"10 AGO
06 JAN","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/630f2b570351b-xs.png
