Nome do Evento,Data,Localização,Imagem
ETERNITY CONCERTO PIANO SOLO,"SEX, 08 MAR · 21:00","Teatro Fashion Mall - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/4qqv6lji7kabg0blcmlkgghdk9i6ad883o08e3qah9qffq8nih11l4huq3kom0jsf7e5ib162agkt5oa65fonell9i79s2im581h0j.jpeg
Descolonize Seus Quadris no Aysha Pole Studio,"27 JAN
24 FEV","Aysha Pole Studio - Rio de Janeiro, RJ",https://images.sympla.com.br/65722fb99f3e0-xs.png
Método Christian Dequeker - Respiração e Apneia (Rio de Janeiro - RJ),"25 MAI
26 MAI","Av. Guignard, 600 - Rio de Janeiro, RJ",https://images.sympla.com.br/6030fd679415d-xs.jpg
Wim Hof Curso de Gelo e Respiração Rio de Janeiro Jardim Botanico,"SAB, 13 JAN · 09:00","Jardim Botânico - Rio de Janeiro, RJ",https://images.sympla.com.br/624aecdb3f9b1-xs.jpg
Curso Livre de Massagem Tântrica no Rio de Janeiro,"27 JAN
28 JAN","Sammasati Terapias Integradas - Rio de Janeiro, RJ",https://images.sympla.com.br/6570ccd30bfc4-xs.jpg
Masterclass Aromaterapia Capilar - O Segredo do Cabelo Saudável com Natalia Azevedo,"20 FEV
28 FEV","Studio Bella Dona - Volta Redonda, RJ",https://images.sympla.com.br/65724bed70d84-xs.png
RETIRO DE RÉVEILLON 2024,"30 DEZ
01 JAN","Caminho do Mato Alto, 177 - Rio de Janeiro, RJ",https://images.sympla.com.br/6515c4eeb1379-xs.jpg
"Curso (presencial ) Florais de Bach, de Minas, das Gerais e a sincronicidade com Tarot e ...","10 AGO
06 JAN","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/633ca7c8a733e-xs.jpg
"Curso(PRESENCIAL) , ERVAS BIOENERGIA pela fitoterapia E CRISTAIS (NÃO É O...","20 DEZ
12 OUT","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/6582c87e9d188-xs.jpg
"CRISTALTERAPIA ,( PRESENCIAL )","20 JAN
11 MAI","Vila Valqueire - Rio de Janeiro, RJ",https://images.sympla.com.br/6555ef596f779-xs.jpg
Imersão Mocambo 2ª edição/2024,"15 FEV
18 FEV","Sitio Mocambo de Aruanda - Cachoeiras de Macacu, RJ",https://images.sympla.com.br/6585c27794928-xs.jpg
INTENSIVO DE FORMAÇÃO EM YOGA ASHRAM VRAJABHUMI - De 19 a 30/01/24,"19 JAN
30 JAN","Ashram Vrajabhumi - Teresópolis, RJ",https://images.sympla.com.br/62b46c614d534-xs.jpg
Curso de Meditação Bodyspotting,"SAB, 01 JUN · 08:00","Rua Dr. Tavares de Macedo, 143 - Niterói, RJ",https://images.sympla.com.br/654ab267114ac-xs.png
Alquimia do Silêncio - Portal de Outono,"22 MAR
24 MAR","Monte Karuná - Paty do Alferes, RJ",https://images.sympla.com.br/65383457b8498-xs.png
CURSO de MASSAGEM para CASAIS no RIO de JANEIRO,"08 AGO
08 AGO","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/64d170c2827d3-xs.jpg
Aula de Yoga no Flamengo,"25 OUT
14 JUN","Aula de Yoga no Flamengo - Rio de Janeiro, RJ",https://images.sympla.com.br/65391cbf496c2-xs.png
